gene_id,s_mtsc_complete_wt_rep3,s_mtsc_ezr_d1_td_single_tdbl_rep3,s_mtsc_klf5_a3_tdbl_first_half_rep3,s_mtsc_krt8_18_h9_tftd_dis_insertion_tf_rep2,s_mtsc_rin3_g2_tftd_dis_homozy_del_rep3,s_mtsc_rin3_h2_tftd_dis_insertion_td_rep2
ENSMUSG00000027806,1335,3350,3013,2121,3204,993
ENSMUSG00000027808,2963,7685,5896,4562,8015,2395
ENSMUSG00000027809,1500,3993,2910,2514,4080,1082
ENSMUSG00000027810,4053,11279,8273,6164,10005,3355
ENSMUSG00000027811,722,1877,1362,968,1933,581
ENSMUSG00000027820,587,874,852,1057,1039,366
ENSMUSG00000027822,1369,3532,2838,2175,3509,1147
ENSMUSG00000027823,7497,19854,16525,11046,21148,6568
ENSMUSG00000027824,17,70,66,59,56,25
ENSMUSG00000027827,0,0,0,0,0,0
ENSMUSG00000027828,12566,32036,26087,19402,31847,9520
ENSMUSG00000027829,5375,13348,12612,9535,14905,4655
ENSMUSG00000027831,5,2,3,2,2,0
ENSMUSG00000027832,0,3,3,1,7,0
ENSMUSG00000027833,60,135,148,180,134,65
ENSMUSG00000027834,7,20,14,10,15,3
ENSMUSG00000027835,1781,4213,3505,2772,4212,1408
ENSMUSG00000027840,14,36,36,35,32,9
ENSMUSG00000027843,2,6,1,0,3,2
ENSMUSG00000027845,659,1661,1285,994,1495,491
ENSMUSG00000027848,50,107,121,105,111,24
ENSMUSG00000027849,0,4,1,1,0,0
ENSMUSG00000027852,6052,16425,12422,8599,15487,4610
ENSMUSG00000027854,1466,3949,3129,2330,3682,1151
ENSMUSG00000027855,0,5,1,2,7,2
ENSMUSG00000027857,0,0,1,0,0,0
ENSMUSG00000027858,1291,2752,2796,3043,3252,1306
ENSMUSG00000027859,0,0,1,1,1,0
ENSMUSG00000027860,3733,10076,7117,5235,8939,3087
ENSMUSG00000027861,22,50,40,13,56,16
ENSMUSG00000027863,15,71,22,23,64,6
ENSMUSG00000027864,4052,12488,7129,4793,12587,2748
ENSMUSG00000027865,727,2255,1558,1067,2058,568
ENSMUSG00000027867,7,29,9,6,4,4
ENSMUSG00000027868,885,2258,1843,1463,2313,793
ENSMUSG00000027869,0,6,3,1,2,0
ENSMUSG00000027870,0,2,2,4,2,2
ENSMUSG00000027871,0,9,7,2,5,2
ENSMUSG00000027875,0,0,2,0,0,0
ENSMUSG00000027876,0,0,0,0,0,0
ENSMUSG00000027878,1228,4333,3308,1991,3524,1028
ENSMUSG00000027879,2681,7438,5519,4003,7292,2300
ENSMUSG00000027880,0,0,0,0,0,0
ENSMUSG00000027881,4156,12682,9288,6213,11328,3560
ENSMUSG00000027882,578,1524,1250,950,1493,498
ENSMUSG00000027883,1730,4443,4001,2563,4705,1735
ENSMUSG00000027884,1002,2361,1996,1678,2620,856
ENSMUSG00000027886,13,31,27,5,21,8
ENSMUSG00000027887,0,13,4,8,6,2
ENSMUSG00000027889,2556,6580,4969,3809,6696,2132
ENSMUSG00000027890,805,1797,2161,1251,2741,811
ENSMUSG00000027893,7116,18871,15484,10958,18273,5685
ENSMUSG00000027894,501,1240,1141,516,986,290
ENSMUSG00000027895,210,845,447,225,629,143
ENSMUSG00000027896,16,32,21,15,52,7
ENSMUSG00000027900,555,1138,1157,1104,1533,455
ENSMUSG00000027901,66,72,74,102,136,37
ENSMUSG00000027902,0,0,0,0,0,0
ENSMUSG00000027905,2139,5411,4311,2819,6013,1533
ENSMUSG00000027907,6313,15060,10940,12284,14063,4508
ENSMUSG00000027908,0,0,0,0,0,0
ENSMUSG00000027912,0,0,0,0,0,0
ENSMUSG00000027913,0,1,0,0,0,0
ENSMUSG00000027919,0,0,0,0,0,0
ENSMUSG00000027923,0,0,0,0,0,0
ENSMUSG00000027925,0,0,0,0,0,0
ENSMUSG00000027927,0,0,0,0,0,0
ENSMUSG00000027931,1001,2467,1666,1654,2403,898
ENSMUSG00000027932,990,2416,1791,1398,2433,700
ENSMUSG00000027933,3800,10721,7856,5629,10484,3172
ENSMUSG00000027935,738,1833,1469,1226,2026,634
ENSMUSG00000027936,2431,6554,4534,3056,5820,1854
ENSMUSG00000027937,970,2307,1675,1346,2624,781
ENSMUSG00000027938,165,353,274,189,455,98
ENSMUSG00000027939,23,107,41,33,85,20
ENSMUSG00000027940,14100,39593,26523,19695,35240,10951
ENSMUSG00000027942,202,460,433,365,551,171
ENSMUSG00000027944,2218,6381,5221,3781,5963,1869
ENSMUSG00000027947,1100,2996,1738,1366,2980,762
ENSMUSG00000027950,7,10,10,12,18,1
ENSMUSG00000027951,1933,5514,3985,2432,5094,1342
ENSMUSG00000027952,2525,6134,4375,3296,7164,1992
ENSMUSG00000027953,631,1889,1220,1006,1453,379
ENSMUSG00000027954,880,2409,1903,971,2768,721
ENSMUSG00000027955,15,32,20,26,28,6
ENSMUSG00000027956,1460,3109,2572,2020,3737,776
ENSMUSG00000027957,2161,5635,4616,2917,5241,1671
ENSMUSG00000027959,591,1970,1376,978,1626,489
ENSMUSG00000027961,0,8,0,3,3,1
ENSMUSG00000027962,0,0,0,0,0,0
ENSMUSG00000027963,536,1497,1106,615,1252,362
ENSMUSG00000027965,0,6,6,3,1,0
ENSMUSG00000027966,286,324,211,582,430,90
ENSMUSG00000027967,2,1,4,2,4,3
ENSMUSG00000027968,2772,7938,5960,3935,7811,2498
ENSMUSG00000027971,0,0,0,0,0,0
ENSMUSG00000027973,0,0,0,0,0,0
ENSMUSG00000027977,12,29,11,9,14,4
ENSMUSG00000027978,258,907,681,434,908,196
ENSMUSG00000027981,718,1868,1282,1241,1584,487
ENSMUSG00000027983,34,55,29,47,58,17
ENSMUSG00000027984,3156,8122,5912,4279,9172,2293
ENSMUSG00000027985,14,36,25,9,19,12
ENSMUSG00000027993,84,264,177,121,194,73
ENSMUSG00000027994,19,24,20,23,35,16
ENSMUSG00000027995,23,119,67,19,61,14
ENSMUSG00000027996,57,248,95,155,105,88
ENSMUSG00000027997,1936,4702,3721,2919,5176,1520
ENSMUSG00000027998,3918,11435,8665,5460,10690,3200
ENSMUSG00000027999,992,2201,1992,1319,2371,801
ENSMUSG00000028001,0,20,7,0,20,1
ENSMUSG00000028003,11,9,4,10,12,7
ENSMUSG00000028004,0,0,0,0,0,0
ENSMUSG00000028005,6,11,2,2,11,3
ENSMUSG00000028007,1307,3442,2342,2190,3378,1088
ENSMUSG00000028008,0,0,0,0,0,0
ENSMUSG00000028009,2,4,6,1,4,0
ENSMUSG00000028010,2315,5425,4308,3274,5524,1864
ENSMUSG00000028011,0,0,0,0,0,0
ENSMUSG00000028012,8,36,31,27,27,8
ENSMUSG00000028013,1475,3617,2920,2228,3874,1382
ENSMUSG00000028015,81,174,119,102,172,52
ENSMUSG00000028016,1160,3326,2533,1914,3127,1009
ENSMUSG00000028017,50,125,81,92,98,19
ENSMUSG00000028018,1434,3543,2937,2054,3454,1106
ENSMUSG00000028019,20,53,29,21,44,4
ENSMUSG00000028020,15,33,18,44,46,11
ENSMUSG00000028023,173,597,369,283,468,179
ENSMUSG00000028024,0,0,0,0,0,0
ENSMUSG00000028028,0,0,0,0,1,0
ENSMUSG00000028029,2959,7609,6182,4829,7849,2643
ENSMUSG00000028030,491,1689,1171,868,1719,408
ENSMUSG00000028031,0,4,1,0,2,0
ENSMUSG00000028032,1216,3277,2345,1591,3001,922
ENSMUSG00000028033,6,46,16,30,38,3
ENSMUSG00000028034,10752,29412,22338,16759,26080,8659
ENSMUSG00000028035,307,689,558,491,727,253
ENSMUSG00000028036,1,0,0,0,0,0
ENSMUSG00000028037,1,0,0,0,0,0
ENSMUSG00000028039,5298,12653,9241,7426,13851,3742
ENSMUSG00000028040,2452,5527,4091,3671,6070,2017
ENSMUSG00000028041,3127,8850,5886,4137,8463,2455
ENSMUSG00000028042,5144,14709,9630,7265,13557,3567
ENSMUSG00000028044,7980,18234,14656,12139,18252,6227
ENSMUSG00000028047,175,472,270,146,408,105
ENSMUSG00000028048,2209,6562,4050,3210,5905,1493
ENSMUSG00000028049,3131,8666,6100,5126,8509,2724
ENSMUSG00000028051,30,92,57,27,90,43
ENSMUSG00000028053,2655,8643,5723,4031,6889,1921
ENSMUSG00000028057,536,1507,1241,842,1582,417
ENSMUSG00000028059,4645,13477,9901,5671,12936,3782
ENSMUSG00000028060,3780,10068,7512,5317,9291,2770
ENSMUSG00000028062,1701,4326,3419,2868,4622,1524
ENSMUSG00000028063,7883,20978,15231,11358,24245,5241
ENSMUSG00000028064,43,149,92,81,159,58
ENSMUSG00000028066,3218,8242,6356,4560,8166,2663
ENSMUSG00000028068,2456,6642,5218,3990,7381,1874
ENSMUSG00000028069,2137,6943,4628,3167,6239,1995
ENSMUSG00000028070,2208,5373,4245,3721,5634,1750
ENSMUSG00000028071,10,6,2,9,12,1
ENSMUSG00000028072,83,184,127,89,163,64
ENSMUSG00000028073,49,126,65,73,112,30
ENSMUSG00000028076,2,3,0,3,3,0
ENSMUSG00000028078,241,659,420,305,419,161
ENSMUSG00000028080,1014,3026,2385,1459,2721,780
ENSMUSG00000028081,29471,70339,61127,45684,75181,26358
ENSMUSG00000028082,5187,13615,12141,9393,12736,5043
ENSMUSG00000028085,580,1436,1184,802,1366,434
ENSMUSG00000028086,1893,5451,3495,2588,4835,1428
ENSMUSG00000028088,103,214,217,170,288,63
ENSMUSG00000028089,1361,3493,2722,1948,3355,1116
ENSMUSG00000028093,904,2390,1774,1403,2441,632
ENSMUSG00000028096,1287,3627,2759,2024,3375,1009
ENSMUSG00000028098,2054,5944,4306,2874,5283,1664
ENSMUSG00000028099,1674,4547,3200,2245,4175,1355
ENSMUSG00000028100,291,723,678,505,826,279
ENSMUSG00000028101,659,1847,1464,1033,1724,512
ENSMUSG00000028102,537,1351,1109,772,1546,431
ENSMUSG00000028104,468,1270,1012,744,1264,474
ENSMUSG00000028106,2321,6712,5375,3420,5962,1952
ENSMUSG00000028107,2542,6864,5436,4132,7236,2169
ENSMUSG00000028108,750,1252,1303,1134,1910,506
ENSMUSG00000028109,0,3,4,4,1,1
ENSMUSG00000028111,8,33,25,23,49,22
ENSMUSG00000028114,1521,4113,3560,2587,4050,1260
ENSMUSG00000028115,2,14,7,1,18,2
ENSMUSG00000028116,0,0,0,1,0,1
ENSMUSG00000028121,1614,3067,3365,2703,4031,1354
ENSMUSG00000028124,1674,4248,3106,2203,3883,1343
ENSMUSG00000028125,11,32,23,15,29,7
ENSMUSG00000028126,3164,9073,7021,5422,8900,2458
ENSMUSG00000028127,1015,2884,2228,1470,2691,766
ENSMUSG00000028128,584,1428,1154,858,1383,370
ENSMUSG00000028132,3,35,9,12,12,7
ENSMUSG00000028133,93,185,179,107,204,56
ENSMUSG00000028134,1105,2546,2241,1714,2703,946
ENSMUSG00000028136,9628,25492,21497,14885,25575,7981
ENSMUSG00000028137,0,1,0,0,0,0
ENSMUSG00000028138,5586,13290,11829,8626,14540,4394
ENSMUSG00000028139,21,82,57,41,44,35
ENSMUSG00000028140,2198,5827,4377,3269,5984,1731
ENSMUSG00000028141,5,21,13,13,20,7
ENSMUSG00000028145,277,836,546,414,697,254
ENSMUSG00000028148,2,1,0,1,0,1
ENSMUSG00000028149,2518,5731,6044,4247,6328,2075
ENSMUSG00000028150,4,8,8,6,11,7
ENSMUSG00000028152,289,922,764,521,749,230
ENSMUSG00000028156,8783,24097,19017,12549,22997,6921
ENSMUSG00000028158,170,441,315,230,408,146
ENSMUSG00000028159,93,239,161,79,302,29
ENSMUSG00000028161,1763,4630,3915,3143,4944,1451
ENSMUSG00000028163,1329,3057,2697,2025,2996,1088
ENSMUSG00000028164,1598,3402,3074,2663,4612,1114
ENSMUSG00000028165,894,2426,1700,1298,2214,813
ENSMUSG00000028167,7,3,7,6,9,1
ENSMUSG00000028172,0,2,4,0,3,0
ENSMUSG00000028173,264,155,805,42,973,48
ENSMUSG00000028174,0,2,0,1,0,0
ENSMUSG00000028175,267,771,628,528,686,262
ENSMUSG00000028176,0,1,1,0,0,0
ENSMUSG00000028177,0,2,0,3,1,0
ENSMUSG00000028179,311,354,909,1497,486,62
ENSMUSG00000028180,5214,12478,10853,8128,13261,4271
ENSMUSG00000028182,40,91,80,55,79,20
ENSMUSG00000028184,7169,17853,16798,11885,17577,5131
ENSMUSG00000028185,0,0,0,0,0,0
ENSMUSG00000028186,1,3,1,0,7,0
ENSMUSG00000028187,2906,8021,6128,4454,7272,2445
ENSMUSG00000028188,94,320,195,146,237,102
ENSMUSG00000028189,1022,2309,2112,1862,2712,856
ENSMUSG00000028191,2090,5520,4379,3063,5387,1644
ENSMUSG00000028194,9942,29321,21961,15750,22317,10139
ENSMUSG00000028195,11772,33826,33519,22465,25027,8779
ENSMUSG00000028197,0,0,2,0,0,0
ENSMUSG00000028199,1181,2556,2403,2009,3415,1060
ENSMUSG00000028207,9844,38226,21166,13616,25143,8583
ENSMUSG00000028211,9724,32610,23529,19224,24777,7983
ENSMUSG00000028212,709,2168,1444,971,1837,553
ENSMUSG00000028214,43,146,114,88,79,44
ENSMUSG00000028217,0,0,0,2,0,0
ENSMUSG00000028218,1384,3308,2556,2051,2869,959
ENSMUSG00000028221,2215,5968,5073,3873,5157,2009
ENSMUSG00000028222,0,1,1,0,4,0
ENSMUSG00000028223,735,2428,1578,1310,1751,572
ENSMUSG00000028224,658,2297,1489,1065,1681,590
ENSMUSG00000028226,1,3,3,6,4,3
ENSMUSG00000028228,15541,68264,38974,27183,41492,16446
ENSMUSG00000028229,226,705,461,397,602,213
ENSMUSG00000028232,1250,3723,2382,1975,2871,974
ENSMUSG00000028233,2407,8987,5368,3974,6408,2099
ENSMUSG00000028234,22302,57793,46299,38591,56722,20928
ENSMUSG00000028236,0,0,0,0,0,0
ENSMUSG00000028238,0,0,0,0,0,0
ENSMUSG00000028240,0,0,0,0,0,0
ENSMUSG00000028243,588,2058,1186,864,1352,462
ENSMUSG00000028244,0,0,0,0,0,0
ENSMUSG00000028245,1929,7314,4715,1959,4546,1802
ENSMUSG00000028246,214,776,466,403,531,186
ENSMUSG00000028247,1116,3831,2582,1652,3046,1002
ENSMUSG00000028248,4763,16845,9730,7677,12077,4061
ENSMUSG00000028249,7862,22097,17183,13792,19562,6879
ENSMUSG00000028251,383,852,594,421,884,250
ENSMUSG00000028252,1346,4164,2641,2391,3404,1090
ENSMUSG00000028255,1,0,1,0,0,0
ENSMUSG00000028256,691,2343,1674,1368,1093,773
ENSMUSG00000028259,0,0,0,0,0,0
ENSMUSG00000028261,1184,3347,2149,1744,2802,892
ENSMUSG00000028262,1,0,1,2,2,0
ENSMUSG00000028264,1,2,0,3,0,0
ENSMUSG00000028266,916,2544,1799,1346,2202,734
ENSMUSG00000028268,5,37,16,9,32,6
ENSMUSG00000028270,62,259,110,55,178,17
ENSMUSG00000028271,2208,5457,4050,2902,6029,1509
ENSMUSG00000028273,2093,5782,4255,3195,5280,1431
ENSMUSG00000028274,1716,5668,3631,2751,4250,1365
ENSMUSG00000028277,692,2553,1349,1244,1562,539
ENSMUSG00000028278,116,391,246,202,275,82
ENSMUSG00000028280,1,12,3,1,5,1
ENSMUSG00000028282,1102,3248,2353,1859,3039,1052
ENSMUSG00000028284,4055,14448,8257,6471,10361,3218
ENSMUSG00000028287,2,3,1,1,0,0
ENSMUSG00000028289,18,89,72,45,75,19
ENSMUSG00000028291,2521,7852,5235,3614,6167,2044
ENSMUSG00000028292,1769,5744,3412,2571,4205,1315
ENSMUSG00000028293,1606,4654,3118,2319,3889,1295
ENSMUSG00000028294,1,1,0,3,1,0
ENSMUSG00000028295,132,454,247,186,341,80
ENSMUSG00000028298,0,0,0,0,0,3
ENSMUSG00000028300,1099,3706,2376,1842,2963,849
ENSMUSG00000028307,0,0,0,0,0,0
ENSMUSG00000028309,2424,9005,5355,3905,6612,2057
ENSMUSG00000028310,0,0,0,0,0,0
ENSMUSG00000028312,5348,15823,11733,9228,12994,4608
ENSMUSG00000028314,0,0,0,0,0,0
ENSMUSG00000028318,1117,4268,2472,1724,3006,962
ENSMUSG00000028322,1596,4788,2780,2203,3694,1203
ENSMUSG00000028327,26,119,46,7,57,30
ENSMUSG00000028328,50,184,131,84,149,23
ENSMUSG00000028329,432,1406,744,574,949,285
ENSMUSG00000028330,6367,23622,12682,9028,16486,5078
ENSMUSG00000028331,664,2351,1421,915,1662,493
ENSMUSG00000028332,4,13,5,5,19,2
ENSMUSG00000028333,22862,81742,56333,32492,67571,21880
ENSMUSG00000028334,6748,21338,13246,10892,18775,5864
ENSMUSG00000028337,1034,3626,2413,1933,2479,978
ENSMUSG00000028339,6,31,18,28,14,7
ENSMUSG00000028341,116,462,354,310,323,59
ENSMUSG00000028343,2594,9335,5629,4260,7065,2023
ENSMUSG00000028344,205,1000,370,298,541,149
ENSMUSG00000028345,5489,16680,12315,8099,13755,4560
ENSMUSG00000028347,4895,12748,9902,7320,11884,3954
ENSMUSG00000028348,45,203,117,91,176,62
ENSMUSG00000028351,0,1,0,0,0,0
ENSMUSG00000028354,118,264,195,196,248,103
ENSMUSG00000028356,0,1,0,0,0,2
ENSMUSG00000028357,0,0,0,0,0,0
ENSMUSG00000028358,150,372,260,187,316,152
ENSMUSG00000028359,1,3,1,4,5,0
ENSMUSG00000028360,3,9,3,5,6,4
ENSMUSG00000028362,0,0,0,0,0,0
ENSMUSG00000028364,114,368,239,223,156,18
ENSMUSG00000028367,15405,41365,28960,23518,37663,12849
ENSMUSG00000028369,4,26,11,8,18,4
ENSMUSG00000028370,0,1,0,0,0,0
ENSMUSG00000028373,0,0,0,0,0,1
ENSMUSG00000028378,1002,3109,1664,868,2693,603
ENSMUSG00000028381,2122,7188,4699,3084,5202,1669
ENSMUSG00000028382,6416,23526,14343,8972,15883,4526
ENSMUSG00000028383,558,1779,1138,1016,1371,373
ENSMUSG00000028385,2234,7112,5969,4610,5437,1863
ENSMUSG00000028386,0,0,0,0,0,0
ENSMUSG00000028389,718,3317,1714,1321,1768,754
ENSMUSG00000028391,40,153,84,96,2,6
ENSMUSG00000028392,327,1202,560,206,956,1
ENSMUSG00000028393,2533,8605,4529,3496,6482,1922
ENSMUSG00000028394,2042,7258,4277,2995,5270,1648
ENSMUSG00000028396,0,0,0,0,0,0
ENSMUSG00000028397,1014,3182,2246,1659,2401,752
ENSMUSG00000028398,725,1975,1439,1168,1929,631
ENSMUSG00000028399,54,153,108,106,73,35
ENSMUSG00000028402,745,2753,1858,1226,1832,597
ENSMUSG00000028403,1196,4681,2511,1934,2922,1040
ENSMUSG00000028405,2964,10910,6069,3923,7715,2522
ENSMUSG00000028407,62,81,73,72,101,31
ENSMUSG00000028409,7405,25583,15430,11198,18694,5902
ENSMUSG00000028410,5995,20962,11731,8364,15720,4899
ENSMUSG00000028411,640,2184,1317,1058,1824,548
ENSMUSG00000028412,4044,13390,8468,6288,9174,3265
ENSMUSG00000028413,11972,37439,24986,20693,34680,9222
ENSMUSG00000028414,1159,4383,2444,1950,2931,865
ENSMUSG00000028415,0,0,0,0,1,0
ENSMUSG00000028416,4901,16968,9430,7654,13286,4147
ENSMUSG00000028417,3,7,2,8,6,1
ENSMUSG00000028419,3374,10758,6312,5046,7940,2550
ENSMUSG00000028420,282,1018,618,415,694,276
ENSMUSG00000028423,8707,30850,18010,11987,22906,6665
ENSMUSG00000028426,14832,57450,30033,20736,36078,10753
ENSMUSG00000028427,11,11,8,6,12,4
ENSMUSG00000028430,5514,20810,11018,7208,15131,4164
ENSMUSG00000028431,5889,22896,13620,9122,17192,5212
ENSMUSG00000028433,9190,35612,18739,12450,22747,7176
ENSMUSG00000028434,293,905,465,403,757,212
ENSMUSG00000028435,774,2386,1308,1127,2267,375
ENSMUSG00000028436,4376,15898,9536,6214,11949,3644
ENSMUSG00000028437,2026,7176,4074,2963,5383,1590
ENSMUSG00000028438,501,1803,1105,785,1186,406
ENSMUSG00000028439,283,1281,544,327,811,201
ENSMUSG00000028441,2,28,6,5,10,2
ENSMUSG00000028443,454,1120,798,598,1125,340
ENSMUSG00000028444,688,2173,1240,1355,1529,804
ENSMUSG00000028445,72,233,143,153,152,54
ENSMUSG00000028447,1706,5265,3051,2495,4220,1310
ENSMUSG00000028451,8,14,3,17,8,0
ENSMUSG00000028452,24946,88565,52509,34058,69904,21219
ENSMUSG00000028453,430,1493,772,612,1113,343
ENSMUSG00000028454,1310,4730,2950,2065,3685,1000
ENSMUSG00000028455,4276,14618,8454,5631,11022,3777
ENSMUSG00000028456,2792,8913,4484,3137,6954,1827
ENSMUSG00000028457,9,9,2,7,7,5
ENSMUSG00000028458,1443,4655,2594,1887,3383,1031
ENSMUSG00000028459,1,4,1,3,1,0
ENSMUSG00000028460,0,1,1,0,0,0
ENSMUSG00000028461,1368,3785,2436,2062,3703,1113
ENSMUSG00000028463,70,278,137,110,282,70
ENSMUSG00000028464,4126,14476,8104,7064,11189,3198
ENSMUSG00000028465,10209,38319,24595,14944,26410,8654
ENSMUSG00000028466,1057,3422,2106,1608,2792,711
ENSMUSG00000028467,721,2582,1397,926,1928,583
ENSMUSG00000028468,2305,7928,5043,3596,5675,2057
ENSMUSG00000028469,966,2620,1617,1417,2127,654
ENSMUSG00000028470,451,1187,761,718,1086,375
ENSMUSG00000028475,2,1,3,1,2,1
ENSMUSG00000028476,325,1305,617,556,764,289
ENSMUSG00000028478,14950,47505,28484,23558,36862,11977
ENSMUSG00000028479,959,3163,2253,1696,2447,935
ENSMUSG00000028480,4628,14972,10658,9410,11824,3671
ENSMUSG00000028483,771,2352,1516,1165,1798,541
ENSMUSG00000028484,10048,33956,20835,13710,23738,8181
ENSMUSG00000028487,11,58,24,18,40,4
ENSMUSG00000028488,48,124,92,63,106,40
ENSMUSG00000028492,0,0,0,0,1,0
ENSMUSG00000028494,5497,16272,12164,10546,13028,4544
ENSMUSG00000028495,34803,107850,66216,56028,81417,27265
ENSMUSG00000028496,522,1654,1122,947,1227,481
ENSMUSG00000028497,20,37,29,15,32,4
ENSMUSG00000028514,9079,30232,20825,15818,22320,6979
ENSMUSG00000028517,1035,3366,1273,1298,3059,607
ENSMUSG00000028518,383,1462,840,571,812,294
ENSMUSG00000028519,36,185,54,109,139,23
ENSMUSG00000028520,0,0,3,0,1,1
ENSMUSG00000028521,1017,3548,2235,1818,2819,862
ENSMUSG00000028522,1659,5726,3785,2646,4230,1440
ENSMUSG00000028523,0,0,0,0,0,0
ENSMUSG00000028524,2,1,2,1,1,0
ENSMUSG00000028525,10,32,64,37,44,16
ENSMUSG00000028527,7901,31964,14007,10915,20908,5947
ENSMUSG00000028528,132,504,129,139,242,64
ENSMUSG00000028530,5967,22918,13158,8793,16656,4433
ENSMUSG00000028532,121,632,325,193,328,116
ENSMUSG00000028533,0,0,0,0,0,0
ENSMUSG00000028536,0,0,0,1,9,1
ENSMUSG00000028538,792,2542,1503,1131,1875,683
ENSMUSG00000028539,24,13,23,19,36,4
ENSMUSG00000028540,534,1750,1183,807,1466,463
ENSMUSG00000028541,673,1821,1328,972,1444,574
ENSMUSG00000028542,254,1280,686,567,686,268
ENSMUSG00000028544,0,0,0,0,0,0
ENSMUSG00000028545,93,290,207,118,223,71
ENSMUSG00000028546,2,16,10,19,15,6
ENSMUSG00000028549,245,604,392,309,487,202
ENSMUSG00000028550,471,1736,945,586,1081,415
ENSMUSG00000028551,125,326,247,218,299,102
ENSMUSG00000028552,1885,6883,4012,2783,4590,1381
ENSMUSG00000028553,0,0,0,0,0,0
ENSMUSG00000028555,375,1259,596,504,893,314
ENSMUSG00000028556,2347,7829,5181,3241,5293,1983
ENSMUSG00000028557,2192,6394,4130,3264,5032,1474
ENSMUSG00000028558,12,24,24,22,39,7
ENSMUSG00000028559,2216,6870,4673,3328,5581,1458
ENSMUSG00000028560,4673,15839,9862,6450,12375,3769
ENSMUSG00000028563,659,2281,1441,1346,1748,593
ENSMUSG00000028565,77,236,164,129,164,68
ENSMUSG00000028567,2690,8559,5197,4718,6982,2176
ENSMUSG00000028568,1424,4489,2553,2205,3350,1171
ENSMUSG00000028571,0,0,0,0,0,0
ENSMUSG00000028572,594,2615,1179,1032,1341,477
ENSMUSG00000028573,7,41,31,14,27,17
ENSMUSG00000028575,5,28,19,23,13,5
ENSMUSG00000028576,556,1630,1102,855,1332,450
ENSMUSG00000028577,7906,29213,16824,11787,21307,6438
ENSMUSG00000028578,895,3026,1732,1271,2155,698
ENSMUSG00000028580,3343,8678,7016,4623,8009,2496
ENSMUSG00000028581,88,140,91,271,301,82
ENSMUSG00000028582,1935,7137,4106,2944,5195,1576
ENSMUSG00000028583,0,3,3,0,1,0
ENSMUSG00000028584,0,5,12,5,5,10
ENSMUSG00000028587,2490,8339,4599,3262,6508,1936
ENSMUSG00000028589,0,0,0,0,0,0
ENSMUSG00000028590,5,7,9,1,8,4
ENSMUSG00000028591,1316,4591,2919,1254,3691,713
ENSMUSG00000028593,0,0,0,0,0,0
ENSMUSG00000028597,281,707,558,349,629,178
ENSMUSG00000028599,370,1262,855,448,1232,304
ENSMUSG00000028600,180,434,373,418,371,164
ENSMUSG00000028601,1054,3160,1302,1515,2643,891
ENSMUSG00000028602,6,30,7,10,13,6
ENSMUSG00000028603,1326,3777,2486,1916,3499,823
ENSMUSG00000028607,1709,5716,3368,2584,4532,1393
ENSMUSG00000028608,1521,4261,2999,2732,3562,1169
ENSMUSG00000028609,3739,12334,7346,5079,9168,2908
ENSMUSG00000028610,72,233,171,111,239,63
ENSMUSG00000028612,0,0,0,0,0,0
ENSMUSG00000028613,2278,7728,4749,3370,5612,1685
ENSMUSG00000028614,5415,20070,11119,8254,14037,4265
ENSMUSG00000028617,1354,4122,2920,1972,3138,1145
ENSMUSG00000028618,10358,31664,21319,16802,25643,8215
ENSMUSG00000028619,1005,3318,2071,1729,2737,875
ENSMUSG00000028621,220,866,483,413,629,225
ENSMUSG00000028622,2322,7674,4285,3107,5834,1968
ENSMUSG00000028626,130,324,236,280,313,111
ENSMUSG00000028629,570,1982,789,639,1527,352
ENSMUSG00000028630,2075,7044,4488,2867,6013,1666
ENSMUSG00000028631,56,261,152,127,164,63
ENSMUSG00000028633,5957,20071,12529,9255,15623,4797
ENSMUSG00000028634,42,216,73,104,122,49
ENSMUSG00000028635,0,1,0,1,3,0
ENSMUSG00000028636,899,2475,1613,1342,2317,751
ENSMUSG00000028637,55,171,67,79,137,31
ENSMUSG00000028639,38341,131853,76510,58647,95949,30985
ENSMUSG00000028640,11673,33202,27138,18235,34139,8545
ENSMUSG00000028641,2484,9227,5164,3440,6720,1688
ENSMUSG00000028642,6,29,11,9,12,6
ENSMUSG00000028643,368,1132,745,687,1034,287
ENSMUSG00000028644,4,24,15,17,22,8
ENSMUSG00000028645,41657,132340,93150,57054,96670,29112
ENSMUSG00000028646,3375,10341,8188,5653,9031,2697
ENSMUSG00000028647,2214,7473,3961,3028,5482,1521
ENSMUSG00000028648,653,2503,1576,1106,2129,760
ENSMUSG00000028649,24591,83654,58582,42529,58791,19559
ENSMUSG00000028651,2816,8769,5447,4594,7157,2308
ENSMUSG00000028653,901,3003,1922,1381,2438,750
ENSMUSG00000028654,508,1490,925,642,1024,346
ENSMUSG00000028655,602,2760,1229,1024,2007,432
ENSMUSG00000028656,12517,39428,25481,19517,30900,9746
ENSMUSG00000028657,2286,7727,4609,3478,5796,1795
ENSMUSG00000028661,10,16,16,10,23,8
ENSMUSG00000028664,95,259,210,170,248,117
ENSMUSG00000028668,1519,4323,3407,2264,3929,1157
ENSMUSG00000028669,849,1860,1688,1300,2173,680
ENSMUSG00000028670,1649,3858,2804,2257,4108,1223
ENSMUSG00000028671,1174,2915,2019,1624,3296,902
ENSMUSG00000028672,618,1431,1202,1059,1771,549
ENSMUSG00000028673,820,1817,1443,1210,2078,610
