gene_id,s_mtsc_complete_wt_rep2,s_mtsc_ezr_d1_td_single_tdbl_rep2,s_mtsc_klf5_a3_tdbl_first_half_rep2,s_mtsc_krt8_18_f7_tftd_dis_insertion_tf,s_mtsc_krt8_18_h9_tftd_dis_insertion_tf,s_mtsc_rin3_g2_tftd_dis_homozy_del_rep2
ENSMUSG00000000682,62,101,92,40,46,169
ENSMUSG00000000686,49,85,54,63,72,73
ENSMUSG00000000690,10,7,22,15,32,15
ENSMUSG00000000693,78,146,137,134,154,147
ENSMUSG00000000701,0,0,0,0,0,0
ENSMUSG00000000706,0,2,1,11,0,7
ENSMUSG00000000708,2351,2635,1992,2794,2370,2981
ENSMUSG00000000711,5702,7666,5390,5936,6481,7513
ENSMUSG00000000724,0,0,2,0,0,0
ENSMUSG00000000730,1492,2330,1728,1384,1317,1375
ENSMUSG00000000731,224,298,212,233,250,336
ENSMUSG00000000732,1638,1842,1736,1562,1952,1806
ENSMUSG00000000738,4248,4863,5496,4988,5524,5208
ENSMUSG00000000739,1,0,0,4,1,0
ENSMUSG00000000740,38819,47548,50384,45752,55438,48747
ENSMUSG00000000743,5227,6154,6197,6278,6450,6322
ENSMUSG00000000751,7847,8614,8964,9124,8875,8840
ENSMUSG00000000753,6,15,10,47,8,1
ENSMUSG00000000759,4352,5007,3857,4747,5067,5377
ENSMUSG00000000766,0,1,0,0,0,0
ENSMUSG00000000776,4118,5033,4793,5328,4974,5111
ENSMUSG00000000782,8163,8463,9641,9144,8167,10856
ENSMUSG00000000787,38637,44423,28632,49106,43331,43338
ENSMUSG00000000791,49,43,30,31,33,40
ENSMUSG00000000792,622,879,197,267,132,204
ENSMUSG00000000794,32,52,28,54,38,96
ENSMUSG00000000804,5667,6716,4794,6592,7708,7135
ENSMUSG00000000805,2262,1243,1767,1601,2398,1106
ENSMUSG00000000811,365,388,382,433,317,382
ENSMUSG00000000817,94,150,62,85,104,174
ENSMUSG00000000823,2016,2515,2061,3094,2479,2616
ENSMUSG00000000826,9022,11158,9779,11172,10481,11023
ENSMUSG00000000827,8750,10442,10020,10576,11971,11177
ENSMUSG00000000838,14678,18676,14165,17840,19269,15067
ENSMUSG00000000861,19,33,34,44,25,12
ENSMUSG00000000869,0,2,0,0,0,0
ENSMUSG00000000876,713,896,883,805,943,965
ENSMUSG00000000881,1974,2661,2540,2501,3499,3074
ENSMUSG00000000884,364,429,475,446,653,435
ENSMUSG00000000889,0,0,0,0,0,0
ENSMUSG00000000901,1107,1339,955,1468,730,1809
ENSMUSG00000000902,4697,5984,5993,5336,5628,6054
ENSMUSG00000000903,2,0,4,7,1,2
ENSMUSG00000000915,3359,3940,3892,3879,4430,4591
ENSMUSG00000000916,1523,1609,1664,1497,1587,1771
ENSMUSG00000000934,1430,1942,1844,1518,1710,2119
ENSMUSG00000000938,178,90,211,577,427,80
ENSMUSG00000000942,17,17,16,30,43,11
ENSMUSG00000000948,1,0,0,0,1,0
ENSMUSG00000000957,5128,5906,4510,6843,4754,6672
ENSMUSG00000000958,797,1409,1049,1131,794,1349
ENSMUSG00000000959,4340,5402,5488,5297,6017,5575
ENSMUSG00000000976,1847,2188,1988,2255,2706,2296
ENSMUSG00000000982,0,0,0,0,0,0
ENSMUSG00000000983,0,0,0,0,0,0
ENSMUSG00000001014,63,78,74,95,59,65
ENSMUSG00000001016,11507,14021,13070,13155,12921,13614
ENSMUSG00000001017,7335,9287,7752,9204,8747,8665
ENSMUSG00000001018,3757,4509,3917,3687,4166,5291
ENSMUSG00000001020,0,6,7,7,4,3
ENSMUSG00000001021,75,48,87,97,115,62
ENSMUSG00000001023,2,0,1,0,0,0
ENSMUSG00000001025,30135,33221,32110,36134,36002,32952
ENSMUSG00000001027,2,3,1,4,1,1
ENSMUSG00000001029,0,0,0,1,0,0
ENSMUSG00000001034,2047,2400,2374,2396,2431,2397
ENSMUSG00000001036,2078,2545,2022,2490,2477,2569
ENSMUSG00000001039,515,574,533,554,581,590
ENSMUSG00000001052,5886,6547,5853,6647,6235,6966
ENSMUSG00000001053,3283,3959,4545,3945,3939,4073
ENSMUSG00000001054,1545,1949,1920,1978,1822,1989
ENSMUSG00000001056,11327,12876,13366,12907,11781,13206
ENSMUSG00000001062,554,657,640,600,749,731
ENSMUSG00000001065,1118,1417,1338,1433,1414,1527
ENSMUSG00000001076,420,401,427,510,657,358
ENSMUSG00000001082,557,527,465,348,90,576
ENSMUSG00000001089,8656,8943,6516,9331,8736,9584
ENSMUSG00000001095,0,0,0,0,0,0
ENSMUSG00000001098,8892,10475,8720,10814,10537,10408
ENSMUSG00000001100,4904,5669,5520,5939,5986,5772
ENSMUSG00000001103,0,0,0,0,0,0
ENSMUSG00000001105,1226,1305,1346,1443,1441,1610
ENSMUSG00000001119,213,231,153,422,110,352
